date,realgdp_monthly_yoy,cpi,CNYUSDSpot,trade balance,current consumption,FR007,omo7d,CNYUSDCPR,IP_yoy,cmpi,cmpi_n_indicators,neer_yoy,target_gdp,target_cpi,shock_policy,shock_policy_change
2008-08-01,8.825449605172553,4.900000000000006,6.852309523809525,1966.2141659652384,8767.7,3.247457142857143,3.7561,6.8515,12.8,1.510855082264886,9.0,6.46504,8.0,4.8,0.0,0.0
2008-09-01,9.187409207505226,4.599999999999994,6.834673684210526,2007.125908349053,9446.5,3.1757761904761903,3.7561,6.830678947368422,11.4,1.2408682717964987,12.0,9.71063,8.0,4.8,0.009999999999999787,0.0
2008-10-01,7.257004731997796,4.0,6.833505,2408.0821975371,10082.7,3.1415300000000004,3.7561,6.83155,8.2,0.852196906997784,13.0,16.09763,8.0,4.8,-0.07749999999999968,-0.07749999999999968
2008-11-01,7.266459155337124,2.4000000000000057,6.82738,2737.084011347,9790.8,2.648965,3.7561,6.828555,5.4,-0.8020505911114535,10.0,19.07246,8.0,4.8,-0.5356999999999998,-0.5356999999999998
2008-12-01,6.786561029896587,1.2000000000000028,6.852595652173913,2671.144252151826,10728.5,1.5241521739130437,3.7561,6.842421739130434,5.7,-0.7724015595527266,10.0,14.04479,8.0,4.8,-0.1841999999999997,-0.1841999999999997
2009-01-01,6.591864496432764,1.0,6.83574,2673.4125246864,10756.6,0.9538,3.7561,6.8381533333333335,3.8,-1.356978715795152,8.0,14.08221,8.0,4.8,0.0,0.0
2009-02-01,5.660928725450454,-1.5999999999999943,6.83572,330.9165899852,9323.8,0.952804761904762,3.7561,6.8356900000000005,11.0,-1.1765020641878716,7.0,13.65013,8.0,4.8,0.0,0.0
2009-03-01,6.941830897850232,-1.2000000000000028,6.835999999999999,1268.8596966,9317.6,0.953890909090909,3.7561,6.834104545454546,8.3,-1.2567611080171976,7.0,16.40097,8.0,4.0,-0.0047000000000000375,0.0
2009-04-01,7.123925092758743,-1.5,6.830442857142858,897.1810599407144,9343.2,0.943795238095238,3.7561,6.831166666666666,7.3,-1.2902076193578786,8.0,13.1487,8.0,4.0,0.0014000000000000679,0.0
2009-05-01,8.76161636698436,-1.4000000000000057,6.823316666666667,913.5417989116668,10028.4,0.9542,3.7561,6.824494444444444,8.9,-1.2170321827486406,7.0,9.09456,8.0,4.0,0.0,0.0
2009-06-01,8.72476175578285,-1.7000000000000028,6.833581818181818,563.8841424656364,9941.6,1.0165090909090908,3.7561,6.8332454545454535,10.7,-1.2838575508019805,8.0,6.42324,8.0,4.0,0.026699999999999946,0.0
2009-07-01,9.657778702509145,-1.7999999999999972,6.83164347826087,726.1802692020001,9936.5,1.5156739130434784,3.7561,6.832026086956522,10.8,-1.1829560502351184,9.0,6.04,8.0,4.0,0.2810999999999999,0.0
2009-08-01,11.38896467510606,-1.2000000000000028,6.8322,1073.45989155,10115.6,1.474895238095238,3.7561,6.832214285714286,12.3,-1.0608761607717354,8.0,2.8147,8.0,4.0,0.07889999999999997,0.0
2009-09-01,10.76196093598385,-0.7999999999999972,6.82775,882.9730281325001,10912.8,1.5931652173913045,3.7561,6.82890909090909,13.9,-1.0831527733704749,9.0,-0.90033,8.0,4.0,0.1916,0.0
2009-10-01,13.383639432018748,-0.5,6.826725,1637.5698071865,11717.6,1.5243941176470588,3.7561,6.82754375,16.1,-1.052403387592407,9.0,-6.53785,8.0,4.0,0.0,0.0
2009-11-01,11.338544339695854,0.5999999999999943,6.82752380952381,1303.5789844019048,11339.0,1.4367904761904762,3.7561,6.827390476190476,19.2,-1.0460818597927446,9.0,-9.15118,8.0,4.0,0.006399999999999961,0.0
2009-12-01,11.00584023652884,1.9000000000000057,6.827826086956521,1258.3798185739129,12610.0,1.4805565217391303,3.7561,6.827917391304348,18.5,-1.0682915585016228,9.0,-5.47879,8.0,4.0,-0.01859999999999995,0.0
2010-01-01,11.10446484229668,1.5,6.82702,967.2693976904,12718.1,1.473765,3.7561,6.827319999999999,20.7,-0.7563785540707797,11.0,-6.57629,8.0,4.0,-0.03649999999999998,-0.03649999999999998
2010-02-01,14.1976099303575,2.700000000000003,6.8277866666666664,519.7571349338666,12334.2,1.843976470588235,3.7561,6.82704,12.8,-0.6412749164550111,10.0,-6.69446,8.0,4.0,0.04200000000000004,0.04200000000000004
2010-03-01,11.333620451921789,2.4000000000000057,6.826321739130435,-493.9730517454783,11321.7,1.6449478260869563,3.7561,6.826439130434783,18.1,-0.9886209911524438,9.0,-7.85747,8.0,3.0,-0.029999999999999805,0.0
2010-04-01,10.627449703348969,2.799999999999997,6.825790476190476,114.75546251733331,11510.4,1.6486380952380952,3.7561,6.826157142857142,17.8,-0.9888561015803484,10.0,-5.7153,8.0,3.0,-0.0020999999999999908,0.0
2010-05-01,10.698524181991974,3.0999999999999943,6.828069999999999,1333.7210409598,12455.1,1.882795,3.7561,6.827425000000001,16.5,-0.6227655007563104,11.0,-0.09822,8.0,3.0,-0.10280000000000045,-0.012800000000000145
2010-06-01,10.773676404446752,2.9000000000000057,6.8167526315789475,1364.8401231008422,12329.9,2.6867380952380953,3.7561,6.81707,13.7,-0.8392796634274203,9.0,2.37916,8.0,3.0,-0.25939999999999985,0.0
2010-07-01,9.496574646086732,3.299999999999997,6.776654545454545,1946.9591443287272,12252.8,2.041859090909091,3.7561,6.7774636363636365,13.4,-0.8528195183241281,9.0,1.6849,8.0,3.0,0.0,0.0
2010-08-01,9.887221491370555,3.5,6.787854545454545,1360.019831253818,12569.8,1.8327136363636365,3.7561,6.790122727272728,13.9,-0.7698634832806416,9.0,1.43219,8.0,3.0,0.6699999999999999,0.0
2010-09-01,10.311058551455975,3.5999999999999943,6.748994736842104,1138.891579533105,13536.5,2.403390909090909,3.7561,6.746215789473684,13.3,-0.8283445969869692,9.0,2.39283,8.0,3.0,0.1357999999999997,0.0
2010-10-01,8.553017769098247,4.400000000000006,6.66106875,1808.194938661125,14284.8,2.002611764705882,3.7561,6.673175,13.1,-0.597874534550601,10.0,2.49642,8.0,3.0,0.03550000000000009,0.03550000000000009
2010-11-01,11.201645363307543,5.099999999999994,6.6536181818181825,1523.0010256969092,13910.9,2.035568181818182,3.7561,6.6557545454545455,13.3,-0.2687776106997801,11.0,4.73026,8.0,3.0,0.5305,-0.10280000000000022
2010-12-01,9.963983163227708,4.599999999999994,6.646373913043479,869.3498285779131,15329.5,3.997565217391304,3.7561,6.651547826086957,13.5,0.0162347660615393,11.0,4.37292,8.0,3.0,-0.10999999999999988,-0.10999999999999988
2011-01-01,11.416729854590146,4.900000000000006,6.599115,426.36492667215,15249.0,4.852509523809523,3.7561,6.6027,14.1,0.1304589623347445,11.0,3.95876,8.0,3.0,1.6600000000000001,1.9800000000000004
2011-02-01,8.146352712605175,4.900000000000006,6.583106666666667,-480.9683561733333,13769.1,3.734575,3.7561,6.5831333333333335,14.9,0.4734572461277278,11.0,1.91162,8.0,3.0,-2.15,-2.15
2011-03-01,10.754411097953763,5.400000000000006,6.566130434782609,9.111359575217392,13588.0,2.392291304347826,3.7561,6.566243478260869,14.8,0.6348755017017037,11.0,1.80123,8.0,4.0,-0.2849999999999997,-0.5
2011-04-01,10.297923238483396,5.299999999999997,6.527257894736842,745.6194392913156,13649.0,2.82928,3.7561,6.531466666666667,13.4,0.8070228514981362,12.0,0.69313,8.0,4.0,0.9895,0.9895
2011-05-01,9.770260629042982,5.5,6.495704761904761,847.4545867443809,14696.8,3.686152380952381,3.7561,6.498854545454545,13.3,0.7826644024835859,12.0,-1.63451,8.0,4.0,-0.7200000000000006,-1.3700000000000006
2011-06-01,9.634334912160725,6.400000000000006,6.474334999999999,1442.0011186262498,14565.1,5.899557142857143,3.7561,6.478145454545455,15.1,0.8588697238239235,12.0,-1.79795,8.0,4.0,1.0715000000000003,0.7965
2011-07-01,9.151167596581743,6.5,6.4580238095238105,2033.2189653173816,14408.0,5.256238095238095,3.7561,6.461447619047619,14.0,1.0038799220762888,11.0,-0.3957,8.0,4.0,-1.8200000000000003,-1.8200000000000003
2011-08-01,9.610258704077967,6.200000000000003,6.404291304347826,1137.3354029367824,14705.0,3.951334782608696,3.7561,6.409026086956521,13.5,0.9688701209098334,10.0,1.46195,8.0,4.0,-0.04969999999999963,0.0
2011-09-01,9.13944533966806,6.099999999999994,6.389780952380953,927.408462377524,15865.1,4.110838095238096,3.7561,6.3836818181818185,13.8,1.1099808800718267,9.0,4.72382,8.0,4.0,-0.06500000000000039,0.0
2011-10-01,9.645124658536442,5.5,6.368875,1084.8151917174998,16546.4,3.9403,3.7561,6.356223809523809,13.2,1.0047857467506698,10.0,7.61132,8.0,4.0,0.0,0.0
2011-11-01,8.219877305644552,4.200000000000003,6.356504545454545,923.4811166894544,16128.9,3.753636363636363,3.7561,6.340749999999999,12.4,0.965033837873507,8.0,6.24611,8.0,4.0,0.31199999999999983,0.0
2011-12-01,8.248831233019516,4.099999999999994,6.347254545454546,1048.5613096329091,17739.7,3.8882695652173913,3.7561,6.3280863636363645,12.8,1.0972595825551257,10.0,6.52414,8.0,4.0,0.3599999999999999,-0.3500000000000001
2012-01-01,5.928778019251335,4.5,6.314266666666667,1722.3153041773337,16834.3,4.871541176470588,3.7561,6.314663636363637,11.4,1.6514907155693592,5.0,7.65275,8.0,4.0,-0.05400000000000027,0.0
2012-02-01,10.381720737222675,3.200000000000003,6.299947619047619,-1983.432731736619,16834.3,4.147219047619048,3.7561,6.30004761904762,21.3,1.0852182077320418,9.0,5.63946,8.0,4.0,-1.1400000000000006,-0.9800000000000004
2012-03-01,8.033799909336924,3.5999999999999943,6.31349090909091,337.51802443672733,15650.2,3.148939130434783,3.7561,6.308136363636363,11.9,0.9804180942501513,7.0,7.54764,7.5,4.0,-0.2509999999999999,0.0
2012-04-01,7.891158236167062,3.4000000000000057,6.3072875,1162.17133381875,15603.1,3.836542105263158,3.7561,6.295404761904762,9.3,0.8643166056141348,7.0,8.63579,7.5,4.0,0.0,0.0
2012-05-01,7.491673740242621,3.0,6.326495454545454,1182.757621038409,16714.8,2.9646227272727272,3.415,6.305,9.6,0.876337898715451,11.0,9.35782,7.5,4.0,-0.22199999999999953,-0.0338999999999996
2012-06-01,7.717563288142726,2.200000000000003,6.36365,2018.6837348325,16584.9,3.12093,3.3,6.317486363636363,9.5,0.7133005507259987,9.0,8.8554,7.5,4.0,-0.26000000000000023,-0.26000000000000023
2012-07-01,7.253335731518029,1.7999999999999972,6.371090909090909,1602.121347518182,16314.9,3.4855636363636364,3.45,6.323481818181818,9.2,0.6407887196318811,8.0,8.42955,7.5,4.0,-0.2921,-0.07039999999999935
2012-08-01,7.232814079247429,2.0,6.3595565217391306,1695.491283558522,16658.9,3.4945478260869565,3.3722222222222222,6.340360869565218,8.9,0.5761963576124361,7.0,7.11823,7.5,4.0,-0.1878000000000002,0.14000000000000012
2012-09-01,8.006851016148575,1.9000000000000057,6.321305,1749.04371362845,18226.6,3.479638095238095,3.35625,6.339514999999999,9.2,0.5654393168049384,9.0,2.98329,7.5,4.0,-0.4237000000000002,0.008999999999999897
2012-10-01,7.8393074166887455,1.7000000000000028,6.259172222222222,2002.4651098689449,18933.8,3.2095333333333333,3.35,6.320213043478261,9.6,0.6011154198798005,9.0,1.96864,7.5,4.0,-0.48740000000000006,0.0
2012-11-01,8.398236587495077,2.0,6.23359090909091,1223.8580455568183,18476.7,3.211195454545454,3.35,6.295345454545454,10.1,0.6612614750834378,8.0,3.06827,7.5,4.0,0.4764000000000004,0.0
2012-12-01,8.0638621892837,2.5,6.2339714285714285,1971.0843287408572,20334.2,3.3001380952380948,3.35,6.290038095238096,10.3,0.7403899378002065,7.0,1.81084,7.5,4.0,0.23580000000000023,0.0
2013-01-01,8.249528143891771,2.0,6.22076,1813.1188213684,18904.9,3.0818954545454544,3.35,6.27874,9.9,0.7403899378002066,7.0,1.79709,7.5,4.0,-0.17850000000000055,0.0
2013-02-01,7.629008080361177,3.200000000000003,6.233186666666667,950.622051896,18904.9,3.3924235294117646,3.35,6.282719230769231,9.9,0.5246345880889719,7.0,4.90027,7.5,4.0,0.04999999999999982,0.0
2013-03-01,7.828602309025756,2.0999999999999943,6.21572380952381,-54.96508623247619,17641.2,3.1635761904761908,3.35,6.27381935483871,8.9,0.3258425797601709,5.0,4.9931,7.5,3.5,0.0,0.0
2013-04-01,7.393501426958893,2.4000000000000057,6.187366666666667,1123.7173596933333,17600.3,3.3776714285714284,3.35,6.24514,9.3,0.2615644112653879,6.0,6.16359,7.5,3.5,0.0,0.0
2013-05-01,7.742608087195335,2.0999999999999943,6.139931818181818,1254.0784950922728,18886.3,3.544181818181818,3.35,6.19875,9.2,0.4034289135856567,7.0,6.18074,7.5,3.5,0.6699999999999999,0.0
2013-06-01,7.664241423434692,2.700000000000003,6.134694117647059,1663.9992166348236,18826.7,6.808421052631578,3.35,6.170710000000001,8.9,0.5658407617952527,7.0,6.36156,7.5,3.5,0.0,0.0
2013-07-01,8.051190151265807,2.700000000000003,6.134186956521739,1092.9864261614348,18513.2,4.159391304347826,4.4,6.172474193548386,9.7,0.6400600123089959,8.0,7.32768,7.5,3.5,-0.11999999999999922,0.0
2013-08-01,7.753787058675443,2.5999999999999943,6.121745454545455,1745.846506167273,18886.2,4.085618181818182,3.9777777777777774,6.170964516129032,10.4,0.8315734877434334,8.0,7.84088,7.5,3.5,0.5140000000000016,-0.07599999999999918
2013-09-01,7.896816618709357,3.0999999999999943,6.120294736842105,930.6828639696844,20653.3,3.748580952380953,3.9,6.159036666666667,10.2,0.7619529386352251,8.0,9.00348,7.5,3.5,0.726,0.0
2013-10-01,7.530131883052271,3.200000000000003,6.099061111111111,1897.2173745373332,21491.3,4.268478947368421,3.979999999999999,6.141164516129033,10.3,0.9958522495130364,9.0,7.57225,7.5,3.5,0.6400000000000001,0.1200000000000001
2013-11-01,7.728236873916394,3.0,6.09322380952381,2059.565583413619,21011.9,4.503142857142858,4.1,6.137389999999999,10.0,1.14491048922718,10.0,7.03329,7.5,3.5,-0.34999999999999964,-0.5
2013-12-01,7.84021519199003,2.5,6.074363636363636,1557.5184684545454,23059.7,5.163886363636364,4.1,6.1164129032258066,9.7,0.96398477735586,9.0,7.66965,7.5,3.5,0.5499999999999998,0.0
2014-01-01,7.493304878754636,2.5,6.050942857142857,1928.3933134997144,21140.35,4.700286363636364,4.1,6.103664285714285,8.6,1.4893053107713292,12.0,8.22346,7.5,3.5,-0.2699999999999996,0.0
2014-02-01,7.529498011323477,2.0,6.08636875,-1399.1827740178749,21140.35,4.199941176470588,4.1,6.1123318181818185,8.6,0.8292203675869902,8.0,6.38602,7.5,3.5,-1.4500000000000006,-0.7689999999999992
2014-03-01,7.775936523355664,2.4000000000000057,6.173085714285714,475.66878644742854,19800.6,3.206666666666667,4.1,6.135403225806451,8.8,0.9077244876614552,7.0,2.91475,7.5,3.5,0.6400000000000001,0.0
2014-04-01,7.474398590383191,1.7999999999999972,6.225599999999999,1148.91984984,19701.2,3.5252380952380955,4.1,6.155326666666666,8.7,0.830260029563934,8.0,-0.35811,7.5,3.5,0.006000000000000227,0.1299999999999999
2014-05-01,7.711491372299584,2.5,6.23663,2240.3054520653,21249.8,3.249490476190476,4.1,6.162929032258064,8.8,0.7147723477087045,7.0,-1.75382,7.5,3.5,-0.9260000000000002,0.0
2014-06-01,7.913868647958888,2.299999999999997,6.23058,1966.6418290068,21166.4,3.2905,4.1,6.156389999999999,9.2,0.7541681627943693,7.0,-1.7642,7.5,3.5,0.6000000000000001,0.040000000000000036
2014-07-01,7.174501767521524,2.299999999999997,6.199330434782609,2932.298112051913,20775.8,3.835652173913043,4.1,6.156922580645161,9.0,0.7036753209809335,9.0,-2.03755,7.5,3.5,0.16999999999999948,0.0
2014-08-01,7.603823842837953,2.0,6.154609523809524,3067.180552330286,21133.9,3.528095238095238,4.1,6.160706451612903,6.9,0.6884189756364482,7.0,-0.4371,7.5,3.5,-0.22999999999999954,0.0
2014-09-01,7.123520049882659,1.5999999999999943,6.139004761904762,1899.5724758808576,23042.4,3.2934454545454543,4.1,6.153872413793104,8.0,1.0815989149485057,8.0,1.65834,7.5,3.5,-0.8900000000000001,0.0
2014-10-01,7.951809192863668,1.5999999999999943,6.121883333333333,2779.6709410718336,23967.2,3.088421052631579,4.1,6.146116129032258,7.7,0.719099753026042,7.0,4.39549,7.5,3.5,0.3799999999999999,0.0
2014-11-01,7.033856833208851,1.4000000000000057,6.126285,3337.3781739573,23474.7,3.2700000000000005,4.1,6.143433333333333,7.2,0.3088631474995297,9.0,5.39278,7.5,3.5,0.17000000000000037,0.18000000000000016
2014-12-01,7.217835614765811,1.5,6.190665217391304,3071.3910157538694,25801.3,4.204673913043478,4.1,6.124149999999999,7.9,0.4565761002942952,8.0,5.72391,7.5,3.5,1.3599999999999994,0.0
2015-01-01,7.016247507904483,0.7999999999999972,6.2194400000000005,3733.647068444001,23996.25,3.98,3.85,6.135833333333334,6.8,0.7955768616544763,9.0,5.48214,7.5,3.5,-0.6999999999999993,0.15000000000000036
2015-02-01,6.948029316837867,1.4000000000000057,6.25144,3789.5601635424,23996.25,4.64,3.85,6.133896153846154,6.8,1.0454899196952183,12.0,7.17016,7.5,3.5,0.8799999999999999,-0.009999999999999787
2015-03-01,7.334392768691345,1.4000000000000057,6.239640909090909,192.25681403345453,22722.8,4.474227272727273,3.661111111111111,6.150470967741935,5.6,0.6149779704323849,11.0,11.35009,7.0,3.0,-0.9900000000000002,-0.4399999999999995
2015-04-01,7.271535908330429,1.5,6.2025523809523815,2117.209063991238,22386.7,2.9252380952380954,3.4299999999999997,6.130289655172414,5.9,0.5198980269893858,9.0,13.23241,7.0,3.0,-1.5499999999999998,-0.22999999999999998
2015-05-01,6.879830733379677,1.2000000000000028,6.203945,3690.6033599550497,24194.8,2.13579,3.4299999999999997,6.114153333333332,6.1,-0.2025546795225453,7.0,12.37542,7.0,3.0,-0.3700000000000001,-0.020000000000000018
2015-06-01,7.149184774868944,1.4000000000000057,6.205614285714286,2888.0170559648573,24280.3,2.4185809523809523,2.6,6.1153892857142855,6.8,-0.1914347375146993,11.0,13.053,7.0,3.0,0.48,-0.29000000000000004
2015-07-01,8.161022063815748,1.5999999999999943,6.208647826086957,2671.2673745040875,24338.8,2.5708695652173916,2.5,6.116716129032258,6.0,-0.1415744972290173,9.0,14.18926,7.0,3.0,-0.08999999999999986,0.0
2015-08-01,7.482633312694764,2.0,6.338952380952381,3818.5671018295234,24893.4,2.4509523809523808,2.48125,6.283859259259259,6.1,-0.5103247608175064,11.0,11.76786,7.0,3.0,-0.050000000000000266,-0.18999999999999995
2015-09-01,5.390779211814234,1.5999999999999943,6.369925,3843.7324358907504,25270.6,2.3914285714285715,2.35,6.368195652173913,5.7,-0.3277220253467254,11.0,9.07665,7.0,3.0,-0.06000000000000005,-0.10999999999999988
2015-10-01,6.721094436325625,1.2999999999999972,6.3479705882352935,3913.104266791176,28278.9,2.376111111111111,2.3214285714285716,6.351463636363636,5.6,-0.4353147360486296,11.0,6.41342,7.0,3.0,-0.020000000000000018,-0.1200000000000001
2015-11-01,8.658561479453253,1.5,6.37142380952381,3424.309811866048,27937.3,2.32047619047619,2.25,6.366600000000001,6.2,0.0045693087720726,8.0,5.76148,7.0,3.0,-0.020000000000000018,0.0
2015-12-01,5.338795750841752,1.5999999999999943,6.45431304347826,3833.1625584646954,28634.6,2.3995652173913045,2.25,6.4476304347826074,5.9,0.2130943107231401,4.0,3.96099,7.0,3.0,0.08000000000000007,0.0
2016-01-01,6.761670982025114,1.7999999999999972,6.57364,4160.2492919216,26455.15,2.41,2.25,6.552685,5.4,-0.6143484047449933,6.0,1.84986,7.0,3.0,-0.10000000000000009,0.0
2016-02-01,6.817830577664208,2.299999999999997,6.5408875,2131.8377118955,26455.15,2.3577777777777778,2.25,6.5310875,5.4,-0.2508798285293945,9.0,1.26289,7.0,3.0,0.10000000000000009,0.0
2016-03-01,6.819839570080943,2.299999999999997,6.507904347826087,1943.060120202174,25114.1,2.3434782608695652,2.25,6.5063695652173905,6.8,0.1690657598836333,5.0,-1.26219,6.75,3.0,-0.10000000000000009,0.0
2016-04-01,6.674549230977567,2.299999999999997,6.478960000000001,2951.6588753288,24645.8,2.432665,2.25,6.4760409090909095,6.0,-0.4069383216202401,5.0,-2.51996,6.75,3.0,0.20000000000000018,0.0
2016-05-01,6.478463561076464,2.0,6.532171428571429,3264.747011073143,26610.7,2.4066666666666667,2.25,6.528231818181819,6.0,-0.3996283750901964,6.0,-2.0076,6.75,3.0,-0.10000000000000009,0.0
2016-06-01,6.946001234908827,1.9000000000000057,6.595205,3159.6893108683503,26857.4,2.393333333333333,2.25,6.58485,6.2,-0.3553741009102471,7.0,-4.16505,6.75,3.0,0.30000000000000027,0.0
2016-07-01,6.155378971197023,1.7999999999999972,6.677966666666667,3354.1662915670004,26827.4,2.4285714285714284,2.25,6.677442857142857,6.0,-0.3553741009102471,7.0,-6.5802,6.75,3.0,-0.20000000000000018,0.0
2016-08-01,6.982509311034235,1.2999999999999972,6.649404347826088,3460.9674198023913,27539.6,2.460434782608696,2.25,6.647430434782609,6.3,-0.2795357329507297,7.0,-6.84039,6.75,3.0,-0.1499999999999999,0.0
2016-09-01,6.960508947257127,1.9000000000000057,6.67281,2801.0896277022,27976.4,2.4985714285714287,2.25,6.672352380952382,6.1,-0.329726441100154,8.0,-6.45192,6.75,3.0,0.19999999999999973,0.0
2016-10-01,6.6663899390732695,2.0999999999999943,6.74693125,3290.099867781875,31119.2,2.6394444444444445,2.25,6.740270588235295,6.1,-0.2992476463517822,8.0,-5.78504,6.75,3.0,0.4500000000000002,0.0
2016-11-01,7.320467527338614,2.299999999999997,6.8413,3025.883319102,30958.5,2.674545454545455,2.25,6.837536363636364,6.2,-0.2611015090550192,7.0,-6.72381,6.75,3.0,0.2400000000000002,0.0
2016-12-01,6.403656961589732,2.0999999999999943,6.923536363636364,2818.4626079386367,31757.0,2.748181818181818,2.25,6.918195454545455,6.0,-0.2611015090550192,7.0,-5.40877,6.75,3.0,0.0,0.0
2017-01-01,6.924702192379439,2.5,6.895538888888889,3540.3881851829447,28979.85,2.5694736842105264,2.25,6.894152631578947,6.3,-0.2057111784244502,7.0,-4.66077,6.75,3.0,-0.54,0.3999999999999999
2017-02-01,6.663101013806161,0.7999999999999972,6.873188888888889,-628.737325351111,28979.85,2.907368421052632,2.35,6.871344444444444,6.3,-0.0031435349886464,10.0,-6.47372,6.75,3.0,0.2999999999999998,0.0
2017-03-01,7.409527274591898,0.9000000000000057,6.896591304347826,1649.417397201739,27863.7,3.4086956521739133,2.39,6.893152173913044,7.6,0.1476050803441883,11.0,-6.15921,6.5,3.0,1.5,0.7999999999999998
