date,CPI,CPI_Predict,CPI_Previous
1996/2/1,2.1,,
1996/3/1,2.3,,2.1
1996/4/1,0.6,,2.3
1996/5/1,0.7,,0.6
1996/6/1,-0.5,,0.7
1996/7/1,-1.6,,-0.5
1996/8/1,-0.8,,-1.6
1996/9/1,1.5,,-0.8
1996/10/1,1.5,,1.5
1996/11/1,-0.2,,1.5
1996/12/1,-0.1,,-0.2
1997/1/1,0.7,,-0.1
1997/2/1,1.1,,0.7
1997/3/1,2,,1.1
1997/4/1,-1.1,,2
1997/5/1,-0.2,,-1.1
1997/6/1,-0.9,,-0.2
1997/7/1,-1.7,,-0.9
1997/8/1,-1.2,,-1.7
1997/9/1,0.6,,-1.2
1997/10/1,1.7,,0.6
1997/11/1,-0.6,,1.7
1997/12/1,-0.3,,-0.6
1998/1/1,0.1,,-0.3
1998/2/1,0.7,,0.1
1998/3/1,1.5,,0.7
1998/4/1,-0.5,,1.5
1998/5/1,-0.8,,-0.5
1998/6/1,-1.4,,-0.8
1998/7/1,-1.8,,-1.4
1998/8/1,-1.3,,-1.8
1998/9/1,0.8,,-1.3
1998/10/1,1.6,,0.8
1998/11/1,-0.3,,1.6
1998/12/1,-0.3,,-0.3
1999/1/1,0.2,,-0.3
1999/2/1,0.2,,0.2
1999/3/1,1.3,,0.2
1999/4/1,-0.8,,1.3
1999/5/1,-1,,-0.8
1999/6/1,-1.3,,-1
1999/7/1,-1.8,,-1.3
1999/8/1,-0.9,,-1.8
1999/9/1,1,,-0.9
1999/10/1,2,,1
1999/11/1,0,,2
1999/12/1,-0.6,,0
2000/1/1,0,,-0.6
2000/2/1,0.9,,0
2000/3/1,1.9,,0.9
2000/4/1,-1.6,,1.9
2000/5/1,-0.9,,-1.6
2000/6/1,-1,,-0.9
2000/7/1,-1.5,,-1
2000/8/1,-0.8,,-1.5
2000/9/1,1,,-0.8
2000/10/1,1.6,,1
2000/11/1,-0.1,,1.6
2000/12/1,0.7,,-0.1
2001/1/1,0.1,,0.7
2001/2/1,0.9,,0.1
2001/3/1,0.1,,0.9
2001/4/1,-0.6,,0.1
2001/5/1,0.2,,-0.6
2001/6/1,-0.5,,0.2
2001/7/1,-1.2,,-0.5
2001/8/1,-0.5,,-1.2
2001/9/1,0.1,,-0.5
2001/10/1,0.9,,0.1
2001/11/1,0.3,,0.9
2001/12/1,-0.2,,0.3
2002/1/1,0.1,,-0.2
2002/2/1,0.3,,0.1
2002/3/1,1.1,,0.3
2002/4/1,-1.3,,1.1
2002/5/1,-0.3,,-1.3
2002/6/1,-0.3,,-0.3
2002/7/1,-0.9,,-0.3
2002/8/1,-0.7,,-0.9
2002/9/1,0.3,,-0.7
2002/10/1,1,,0.3
2002/11/1,0.2,,1
2002/12/1,-0.1,,0.2
2003/1/1,0.3,,-0.1
2003/2/1,1.1,,0.3
2003/3/1,0.9,,1.1
2003/4/1,-0.6,,0.9
2003/5/1,-0.2,,-0.6
2003/6/1,-0.7,,-0.2
2003/7/1,-1.2,,-0.7
2003/8/1,-0.5,,-1.2
2003/9/1,0.7,,-0.5
2003/10/1,1.2,,0.7
2003/11/1,0.9,,1.2
2003/12/1,1,,0.9
2004/1/1,0.6,,1
2004/2/1,1.1,,0.6
2004/3/1,-0.2,,1.1
2004/4/1,0.3,,-0.2
2004/5/1,0.5,,0.3
2004/6/1,-0.1,,0.5
2004/7/1,-0.7,,-0.1
2004/8/1,-0.2,,-0.7
2004/9/1,0.7,,-0.2
2004/10/1,1.1,,0.7
2004/11/1,0,,1.1
2004/12/1,-0.3,,0
2005/1/1,0.1,,-0.3
2005/2/1,0.6,,0.1
2005/3/1,1.8,,0.6
2005/4/1,-0.9,,1.8
2005/5/1,-0.3,,-0.9
2005/6/1,-0.2,,-0.3
2005/7/1,-0.8,,-0.2
2005/8/1,0,,-0.8
2005/9/1,0.2,,0
2005/10/1,0.7,,0.2
2005/11/1,0.4,,0.7
2005/12/1,-0.3,,0.4
2006/1/1,0.4,,-0.3
2006/2/1,1.3,,0.4
2006/3/1,0.5,,1.3
2006/4/1,-0.9,,0.5
2006/5/1,0.2,,-0.9
2006/6/1,-0.1,,0.2
2006/7/1,-0.5,,-0.1
2006/8/1,-0.3,,-0.5
2006/9/1,0.3,,-0.3
2006/10/1,0.5,,0.3
2006/11/1,0.1,,0.5
2006/12/1,0.3,,0.1
2007/1/1,1.4,,0.3
2007/2/1,0.7,,1.4
2007/3/1,1,,0.7
2007/4/1,-0.3,,1
2007/5/1,-0.1,,-0.3
2007/6/1,0.3,,-0.1
2007/7/1,0.4,,0.3
2007/8/1,0.9,,0.4
2007/9/1,1.2,,0.9
2007/10/1,0.3,,1.2
2007/11/1,0.3,,0.3
2007/12/1,0.7,,0.3
2008/1/1,1,,0.7
2008/2/1,1.2,,1
2008/3/1,2.6,,1.2
2008/4/1,-0.7,,2.6
2008/5/1,0.1,,-0.7
2008/6/1,-0.4,,0.1
2008/7/1,-0.2,,-0.4
2008/8/1,0.1,,-0.2
2008/9/1,-0.1,,0.1
2008/10/1,0,,-0.1
2008/11/1,-0.3,,0
2008/12/1,-0.8,,-0.3
2009/1/1,-0.2,,-0.8
2009/2/1,0.9,,-0.2
2009/3/1,0,,0.9
2009/4/1,-0.3,,0
2009/5/1,-0.2,,-0.3
2009/6/1,-0.3,,-0.2
2009/7/1,-0.5,,-0.3
2009/8/1,0,,-0.5
2009/9/1,0.5,,0
2009/10/1,0.4,,0.5
2009/11/1,-0.1,,0.4
2009/12/1,0.3,,-0.1
2010/1/1,1,,0.3
2010/2/1,0.6,,1
2010/3/1,1.2,,0.6
2010/4/1,-0.7,,1.2
2010/5/1,0.2,,-0.7
2010/6/1,-0.1,,0.2
2010/7/1,-0.6,,-0.1
2010/8/1,0.4,,-0.6
2010/9/1,0.6,,0.4
2010/10/1,0.6,,0.6
2010/11/1,0.7,,0.6
2010/12/1,1.1,,0.7
2011/1/1,0.5,,1.1
2011/2/1,1,,0.5
2011/3/1,1.2,,1
2011/4/1,-0.2,,1.2
2011/5/1,0.1,,-0.2
2011/6/1,0.1,,0.1
2011/7/1,0.3,,0.1
2011/8/1,0.5,,0.3
2011/9/1,0.3,,0.5
2011/10/1,0.5,,0.3
2011/11/1,0.1,,0.5
2011/12/1,-0.2,,0.1
2012/1/1,0.3,,-0.2
2012/2/1,1.5,,0.3
2012/3/1,-0.1,,1.5
2012/4/1,0.2,,-0.1
2012/5/11,-0.1,-0.2,0.2
2012/6/9,-0.3,-0.1,-0.1
2012/7/9,-0.6,-0.3,-0.3
2012/8/9,0.1,-0.1,-0.6
2012/9/9,0.6,0.5,0.1
2012/10/15,0.3,0.4,0.6
2012/11/9,-0.1,0.1,0.3
2012/12/9,0.1,0.2,-0.1
2013/1/11,0.8,0.5,0.1
2013/2/8,1,0.9,0.8
2013/3/9,1.1,0.8,1
2013/4/9,-0.9,-0.6,1.1
2013/5/9,0.2,0.1,-0.9
2013/6/9,-0.6,-0.2,0.2
2013/7/9,0,-0.2,-0.6
2013/8/9,0.1,0.1,0
2013/9/9,0.5,0.4,0.1
2013/10/14,0.8,0.5,0.5
2013/11/9,0.1,0.2,0.8
2013/12/9,-0.1,0,0.1
2014/1/9,0.3,0.4,-0.1
2014/2/14,1,0.7,0.3
2014/3/9,0.5,0.8,1
2014/4/11,-0.5,-0.5,0.5
2014/5/9,-0.3,-0.1,-0.5
2014/6/10,0.1,-0.1,-0.3
2014/7/9,-0.1,,0.1
2014/8/9,0.1,0.1,-0.1
2014/9/11,0.2,0.4,0.1
2014/10/15,0.5,0.4,0.2
2014/11/10,0,0.1,0.5
2014/12/10,-0.2,0.1,0
2015/1/9,0.3,0.3,-0.2
2015/2/10,0.3,0.4,0.3
2015/3/10,1.2,0.8,0.3
2015/4/10,-0.5,-0.6,1.2
2015/5/9,-0.2,,-0.5
2015/6/9,-0.2,0,-0.2
2015/7/9,0,-0.1,-0.2
2015/8/9,0.3,0.3,0
2015/9/10,0.5,0.4,0.3
2015/10/14,0.1,0.5,0.5
2015/11/10,-0.3,-0.2,0.1
2015/12/9,0,-0.1,-0.3
2016/1/9,0.5,0.4,0
2016/2/18,0.5,0.5,0.5
2016/3/10,1.6,1.1,0.5
2016/4/11,-0.4,-0.3,1.6
2016/5/10,-0.2,-0.2,-0.4
2016/6/9,-0.5,-0.2,-0.2
2016/7/10,-0.1,-0.3,-0.5
2016/8/9,0.2,0.1,-0.1
2016/9/9,0.1,0.3,0.2
2016/10/14,0.7,0.3,0.1
2016/11/9,-0.1,,0.7
2016/12/9,0.1,0.1,-0.1
2017/1/10,0.2,0.3,0.1
2017/2/14,1,0.7,0.2
2017/3/9,-0.2,0.6,1
2017/4/12,-0.3,-0.3,-0.2
2017/5/10,0.1,,-0.3
2017/6/9,-0.1,-0.2,0.1
2017/7/10,-0.2,-0.1,-0.1
2017/8/9,0.1,0.2,-0.2
2017/9/9,0.4,0.3,0.1
2017/10/16,0.5,0.4,0.4
2017/11/9,0.1,0.2,0.5
2017/12/9,0,0.1,0.1
2018/1/10,0.3,0.4,0
2018/2/9,0.6,0.7,0.3
2018/3/9,1.2,0.8,0.6
2018/4/11,-1.1,-0.5,1.2
2018/5/10,-0.2,-0.1,-1.1
2018/6/9,-0.2,-0.1,-0.2
2018/7/10,-0.1,0.1,-0.2
2018/8/9,0.3,0.2,-0.1
2018/9/10,0.7,0.5,0.3
2018/10/16,0.7,0.7,0.7
2018/11/9,0.2,0.2,0.7
2018/12/9,-0.3,-0.1,0.2
2019/1/10,0,0.3,-0.3
2019/2/15,0.5,0.5,0
2019/3/9,1,0.7,0.5
2019/4/11,-0.4,-0.2,1
2019/5/9,0.1,0.1,-0.4
2019/6/12,0,0.1,0.1
2019/7/10,-0.1,-0.1,0.1
2019/8/9,0.4,0.2,-0.1
2019/9/10,0.7,0.5,0.4
2019/10/15,0.9,0.7,0.7
2019/11/9,,0.7,0.9
2019/12/10,0.4,0.1,0.9
2020/1/9,0,0.3,0.4
2020/2/10,1.4,0.8,0.4
2020/3/10,0.8,0.8,1.4
2020/4/10,-1.2,-0.7,0.8
2020/5/12,-0.9,-0.5,-1.2
2020/6/10,-0.8,-0.5,-0.9
2020/7/9,-0.1,-0.5,-0.8
2020/8/10,0.6,0.4,-0.1
2020/9/9,0.4,0.4,0.6
2020/10/15,0.2,0.3,0.4
2020/11/10,-0.3,0.2,0.2
2020/12/9,-0.6,-0.2,-0.3
2021/1/11,0.7,0.4,-0.6
2021/2/10,1,1,0.7
2021/3/10,0.6,0.4,1
2021/4/9,-0.5,-0.4,0.6
2021/5/11,-0.3,-0.2,-0.5
2021/6/9,-0.2,-0.1,-0.3
2021/7/9,-0.4,-0.1,-0.2
2021/8/9,0.3,0.2,-0.4
2021/9/9,0.1,0.5,0.3
2021/10/14,0,0.3,0.1
2021/11/10,0.7,0.7,0.1
2021/12/9,0.4,0.3,0.7
2022/1/12,-0.3,0.2,0.4
2022/2/16,0.4,0.5,-0.3
2022/3/9,0.6,0.3,0.4
2022/4/11,0,-0.1,0.6
2022/5/11,0.4,0.2,0.6
2022/6/10,-0.2,-0.3,0.4
2022/7/9,0,-0.1,-0.2
2022/8/10,0.5,0.5,-0.2
2022/9/9,-0.1,0.2,0.5
2022/10/14,0.3,0.4,-0.1
2022/11/9,0.1,0.3,0.3
2022/12/9,-0.2,-0.2,0.1
2023/1/12,0,-0.1,-0.2
2023/2/10,0.8,0.7,0
2023/3/9,-0.5,0.2,0.8
2023/4/11,-0.3,0.2,-0.5
2023/5/11,-0.1,0,-0.3
2023/6/9,-0.2,-0.1,-0.1
2023/7/10,-0.2,0,-0.2
2023/8/9,0.2,-0.1,-0.2
2023/9/9,0.3,0.3,0.2
2023/10/13,0.2,0.3,0.3
2023/11/9,-0.1,0,0.2
2023/12/9,-0.5,-0.1,-0.1
2024/1/12,0.1,0.2,-0.5
2024/2/8,0.3,0.4,0.1
2024/3/9,1,0.7,0.3
2024/4/11,-1,-0.5,1
2024/5/11,0.1,,-1
2024/6/12,-0.1,0,0.1
2024/7/10,-0.2,-0.1,-0.1
2024/8/9,0.5,0.3,-0.2
2024/9/9,0.4,0.5,0.5
2024/10/13,0,0.4,0.4
2024/11/9,-0.3,,0
2024/12/9,-0.6,-0.4,-0.3
2025/1/9,0,0,-0.6
2025/1/12,,,-0.6
2025/2/9,0.7,0.8,0
2025/3/9,-0.2,-0.1,0.7
2025/4/10,-0.4,-0.2,-0.2
2025/5/10,0.1,,-0.4
2025/6/9,-0.2,,0.1
2025/7/9,-0.1,0,-0.2
2025/8/9,0.4,0.3,-0.1
2025/9/10,,,0.4